ID,Año,Título y Medio,Ocasión y Lugar,# representaciones,Última representación,GP compositor,Título,Medio,Ocasión,Lugar,Facebook live,Universidad de Chile,# Intérpretes GP H,# Intérpretes GP M,# Intérpretes GP ND
RMCh238_167,2022,Track 11 para electrónica,"Concierto acusmático de compositores chilenos. Gabinete de Electroacústica para la música de Arte (GEMA), Facultad de Artes de la Universidad de Chile. Sala Isidora Zegers",1,2022-08-24,unknown,Track 11,electrónica,Concierto acusmático de compositores chilenos. Gabinete de Electroacústica para la música de Arte (GEMA),Facultad de Artes de la Universidad de Chile. Sala Isidora Zegers,False,True,0.0,0.0,0.0
RMCh238_168,2022,"Quinteto N°1 (1968) para ensamble de vientos (I. Liviano, II. Lento, III. Diáfano)","Concierto “Quinteto Sinfónico: Música del siglo XX”, Temporada Virtual del Departamento de Música, Facultad de Artes de la Universidad de Chile, vía YouTube Música U. Chile",1,2022-06-01,male,Quinteto N°1 (1968),"ensamble de vientos (I. Liviano, II. Lento, III. Diáfano)",Concierto “Quinteto Sinfónico: Música del siglo XX”,Temporada Virtual del Departamento de Música,False,True,4.0,1.0,0.0
RMCh238_169,2022,La Reina del Tamarugal (1985) Arr. para orquesta,"IX Concierto de Temporada: “Chile: Unidos por nuestros campos, desiertos, mares y cordilleras”, Teatro Municipal de Antofagasta",1,2022-09-09,male,La Reina del Tamarugal (1985) Arr.,orquesta,IX Concierto de Temporada: “Chile: Unidos por nuestros campos,desiertos,False,False,1.0,0.0,1.0
RMCh238_170,2022,Celeridad para piano,"XXII Festival Internacional de Música Contemporánea, Facultad de Artes de la Universidad de Chile, Sala Isidora Zegers",1,2022-09-27,female,Celeridad,piano,XXII Festival Internacional de Música Contemporánea,Facultad de Artes de la Universidad de Chile,False,True,0.0,1.0,0.0
RMCh238_171,2022,Villancico para una Navidad de pájaros (1996) para flauta piccolo sola,1er Ciclo Alumni Música UC. Instituto de Música de la Pontificia Universidad Católica de Chile. Centro Cultural Gabriela Mistral (GAM),1,2022-08-31,unknown,Villancico,una Navidad de pájaros (1996),1er Ciclo Alumni Música UC. Instituto de Música de la Pontificia Universidad Católica de Chile. Centro Cultural Gabriela Mistral (GAM),,False,False,0.0,1.0,0.0
RMCh237_001,2021,Solo poem for a twitter bot (2021),"XVIII Festival Internacional de Música Contemporánea Darwin Vargas, Organizado por la Pontificia Universidad Católica de Chile; Vía: YouTube Extensión Imuspucv, Canal UCV",1,2021-10-13,male,Solo poem for a twitter bot (2021),,XVIII Festival Internacional de Música Contemporánea Darwin Vargas,Organizado por la Pontificia Universidad Católica de Chile; Vía: YouTube Extensión Imuspucv,False,False,0.0,0.0,1.0
RMCh237_002,2021,Whai-Whito* (2019) para trompeta en si bemol,"XXX Festival Internacional de Música Contemporánea, Pontificia Universidad Católica de Chile, Organizado por el Instituto de Música de la Pontificia Universidad Católica de Chile; Vía: Facebook Live",1,2021-11-13,male,Whai-Whito* (2019),trompeta en si bemol,XXX Festival Internacional de Música Contemporánea,Pontificia Universidad Católica de Chile,True,False,1.0,0.0,0.0
RMCh237_003,2021,Cuarteto Nº 2* (2021) para cuatro guitarras eléctricas,"XVIII Festival Internacional de Música Contemporánea Darwin Vargas, Organizado por la Pontificia Universidad Católica de Chile; Vía: YouTube Extensión Imuspucv, Canal UCV",1,2021-10-15,male,Cuarteto Nº 2* (2021),cuatro guitarras eléctricas,XVIII Festival Internacional de Música Contemporánea Darwin Vargas,Organizado por la Pontificia Universidad Católica de Chile; Vía: YouTube Extensión Imuspucv,False,False,0.0,0.0,1.0
RMCh237_004,2021,"Estudios (1920-1936) para piano (1. Tranquilo, 2. Lento, 3. Allegretto, 4. Molto Allegro, 5. Allegretto, 7. Lento)","I Festival Latinoamericano de Música de Cámara, Organizado por la Asociación Cultural Mismar",1,2021-11-29,unknown,Estudios (1920-1936),"piano (1. Tranquilo, 2. Lento, 3. Allegretto, 4. Molto Allegro, 5. Allegretto, 7. Lento)",I Festival Latinoamericano de Música de Cámara,Organizado por la Asociación Cultural Mismar,False,False,0.0,0.0,1.0
RMCh237_005,2022,"Tonadas V y VI (1918-1922), arr. Alejandro Rivas* para cuarteto de saxofones","Ciclo de Verano 2022, Centro de Extensión Oriente, Pontificia Universidad Católica de Chile",1,2022-01-17,unknown,"Tonadas V y VI (1918-1922), arr. Alejandro Rivas*",cuarteto de saxofones,Ciclo de Verano 2022,Centro de Extensión Oriente,False,False,4.0,0.0,1.0
RMCh237_006,2021,Intersperso-Ultradiano* (2017),"XXX Festival Internacional de Música Contemporánea, Pontificia Universidad Católica de Chile, organizado por el Instituto de Música de la Pontificia Universidad Católica de Chile",1,2021-11-10,male,Intersperso-Ultradiano* (2017),,XXX Festival Internacional de Música Contemporánea,Pontificia Universidad Católica de Chile,False,False,4.0,2.0,1.0
RMCh237_007,2021,Parangaricutirimicuaro* (2021),"XVIII Festival Internacional de Música Contemporánea Darwin Vargas, Organizado por la Pontificia Universidad Católica de Valparaíso",1,2021-10-13,unknown,Parangaricutirimicuaro* (2021),,XVIII Festival Internacional de Música Contemporánea Darwin Vargas,Organizado por la Pontificia Universidad Católica de Valparaíso,False,False,0.0,0.0,1.0
RMCh237_008,2021,Naturaleza Moderna* (2021),"XVIII Festival Internacional de Música Contemporánea Darwin Vargas, Organizado por la Pontificia Universidad Católica de Valparaíso",1,2021-10-12,male,Naturaleza Moderna* (2021),,XVIII Festival Internacional de Música Contemporánea Darwin Vargas,Organizado por la Pontificia Universidad Católica de Valparaíso,False,False,1.0,0.0,1.0
RMCh237_009,2021,"Uno, dos, ocho estallidos (2020)","XXX Festival Internacional de Música Contemporánea Pontificia Universidad Católica de Chile , Organizado por el Instituto de Música de la Pontificia Universidad Católica de Chile",1,2021-11-13,male,"Uno, dos, ocho estallidos (2020)",,XXX Festival Internacional de Música Contemporánea Pontificia Universidad Católica de Chile,Organizado por el Instituto de Música de la Pontificia Universidad Católica de Chile,False,False,5.0,3.0,0.0
